0	15
0	16
0	17
0	18
0	19
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
2	9
2	11
2	12
2	13
2	14
2	15
2	16
2	17
2	18
2	19
2	20
2	21
2	22
2	23
3	6
3	7
3	8
3	9
3	10
3	11
3	12
3	13
3	19
3	20
3	21
3	22
3	24
3	27
4	6
4	7
4	8
4	9
4	10
4	11
4	12
4	19
4	20
4	21
4	24
4	27
4	28
5	5
5	6
5	7
5	8
5	9
5	10
5	21
5	22
5	23
5	24
5	25
5	26
5	27
5	28
5	29
6	5
6	6
6	7
6	8
6	10
6	11
6	12
6	22
6	23
6	24
6	25
6	26
6	27
6	28
6	29
7	3
7	4
7	6
7	7
7	8
7	9
7	10
7	11
7	12
7	13
7	22
7	23
7	24
7	25
7	26
7	27
7	28
7	29
7	30
7	31
8	3
8	4
8	5
8	6
8	7
8	8
8	9
8	10
8	11
8	12
8	13
8	22
8	23
8	24
8	25
8	26
8	27
8	28
8	29
8	30
8	31
8	32
9	3
9	4
9	5
9	6
9	7
9	8
9	9
9	10
9	11
9	12
9	13
9	22
9	23
9	24
9	25
9	26
9	27
9	28
9	29
9	30
9	31
9	32
10	3
10	4
10	6
10	7
10	8
10	9
10	10
10	11
10	12
10	13
10	22
10	23
10	24
10	25
10	26
10	27
10	28
10	29
10	30
10	31
10	32
11	6
11	7
11	8
11	9
11	10
11	11
11	12
11	13
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
11	31
11	32
12	8
12	9
12	10
12	11
12	12
12	13
12	23
12	24
12	25
12	26
12	27
12	28
12	29
12	30
12	31
13	22
13	23
13	24
13	25
13	26
13	27
13	28
13	29
14	19
14	20
14	21
14	22
14	23
14	24
14	25
14	26
14	27
14	28
15	19
15	20
15	21
15	22
15	23
15	24
15	25
16	13
16	14
16	15
16	16
16	17
16	18
16	19
16	20
16	21
17	13
17	14
17	15
17	16
17	17
17	18
17	19
17	20
17	21
18	13
18	14
18	15
18	16
18	17
18	18
18	19
18	20
18	21
18	22
18	23
18	24
18	25
18	26
19	19
19	20
19	22
19	23
19	24
19	25
19	26
19	27
19	28
20	22
20	23
20	24
20	25
20	26
20	27
20	28
20	29
21	22
21	23
21	24
21	25
21	26
21	27
21	28
21	29
21	30
21	31
22	22
22	23
22	24
22	25
22	26
22	27
22	28
22	29
22	30
22	31
22	32
23	6
23	7
23	8
23	9
23	10
23	11
23	12
23	22
23	23
23	24
23	25
23	26
23	27
23	28
23	29
23	30
23	31
23	32
24	5
24	7
24	8
24	9
24	10
24	11
24	12
24	13
24	22
24	23
24	24
24	25
24	26
24	27
24	28
24	29
24	30
24	31
24	32
25	3
25	4
25	5
25	7
25	8
25	9
25	10
25	11
25	12
25	13
25	22
25	23
25	24
25	25
25	26
25	27
25	28
25	29
25	30
25	31
25	32
26	3
26	4
26	5
26	6
26	7
26	8
26	9
26	10
26	11
26	12
26	13
26	22
26	23
26	24
26	25
26	26
26	27
26	28
26	29
26	30
26	31
26	32
27	3
27	4
27	5
27	6
27	7
27	8
27	9
27	10
27	11
27	12
27	13
27	22
27	23
27	24
27	25
27	26
27	27
27	28
27	29
27	30
27	31
27	32
28	3
28	4
28	5
28	6
28	7
28	8
28	9
28	10
28	13
28	22
28	23
28	24
28	25
28	26
28	27
28	28
28	29
28	30
28	31
29	5
29	6
29	7
29	8
29	9
29	10
29	11
29	12
29	13
29	22
29	23
29	24
29	25
29	26
29	27
29	28
29	29
30	5
30	6
30	7
30	8
30	9
30	21
30	22
30	23
30	24
30	25
30	26
30	27
30	29
31	6
31	7
31	8
31	9
31	10
31	11
31	12
31	19
31	20
31	21
31	22
31	23
31	24
31	25
31	26
31	27
31	28
32	6
32	7
32	8
32	9
32	10
32	11
32	12
32	13
32	14
32	15
32	19
32	20
32	21
32	22
32	23
32	24
32	25
32	26
32	27
33	11
33	12
33	13
33	14
33	15
33	19
33	20
33	21
33	22
33	23
34	12
34	13
34	14
34	15
34	16
34	17
34	18
34	19
34	20
34	21
35	15
35	16
35	17
35	18
35	19
35	20
36	15
36	16
36	17
36	18
36	19
36	20
